"","gene_short_name","value_1","value_2"
"722","CG7299",2.87839,8.12414
"723","Liprin-gamma",3.46409,9.7767
"724","CSN8",79.7698,225.071
"725","Rh7",0.598223,1.68758
"726","DAT",0.524586,1.4782
"727","CG3909",39.5847,111.529
"728","CG12279",22.3377,62.9163
"729","CG14671",70.3199,197.809
"730","flam",13.6666,38.4211
"731","CG6006",15.2434,42.8331
"732","RhoGAP16F,scu",492.171,1382.9
"733","CG6878",137.754,386.743
"734","park",9.67021,27.1305
"735","Syt12,dmrt11E",0.366573,1.02807
"736","RpL32",1214.36,3405.02
"737","Actbeta",0.470033,1.31782
"738","CG44008",24.2592,68.0007
"739","GstE12",71.3965,199.874
"740","NetB",1.92753,5.38688
"741","CG31706",1.45007,4.05222
"742","Mal-A7",3.25077,9.08319
"743","CG34155",2.29799,6.41947
"744","CG11586",166.862,466.08
"745","CR44922",0.443517,1.23768
"746","Chmp1",86.2391,240.593
"747","CG6094",51.901,144.749
"748","CG12825",12.8318,35.773
"749","Fip1",80.2292,223.504
"750","Elal",7.77712,21.6428
"751","CG5862",125.982,350.235
"752","CG31869",11.833,32.8896
"753","CG6295",42.3795,117.759
"754","CG30373",91.6399,254.51
"755","CG34125",106.06,294.536
"756","CG8132",26.0519,72.3312
"757","Cys",207.905,577.114
"758","CG10178",3.36186,9.31874
"759","AnxB10",156.24,432.646
"760","UQCR-C1",232.347,643.003
"761","Eglp4",12.7954,35.4033
"762","Rpn11",352.676,975.582
"763","CG8520,CG8525",28.267,78.1218
"764","Mal-A4",0.862285,2.38125
"765","CG8745",5.82149,16.0763
"766","RhoGEF64C",3.09008,8.52797
"767","CG15423",4.60698,12.7066
"768","CG10038",45.1172,124.406
"769","dikar",38.911,107.286
"770",NA,1.75319,4.83187
"771","COX4",400.755,1104.41
"772","spen",152.708,420.609
"773","mRpS21",194.387,535.037
"774","SPARC",11.2904,31.0567
"775","CG14777,CG14778",46.8665,128.776
"776","galla-1",184.601,507.105
"777","CG9691",26.6357,73.1498
"778","CG9682",2.24756,6.17063
"779","Optix",1.38529,3.80307
"780","Cyp6w1",5.8262,15.988
"781","eya",0.391151,1.07269
"782","BG642312,CG13299,CG42714",14.3024,39.1987
"783","CG9572",4.90092,13.4142
"784","CG43349,CG5011",63.3961,173.411
"785","CG7971",82.3034,225.091
"786","CG44250,CG44251",21.1078,57.6285
"787","HmgZ",253.184,689.572
"788","CG1698",0.930001,2.53243
"789","Amy-d",10.9523,29.7647
"790","Cyp6a2",1.7681,4.79561
"791","ND-B22",215.383,583.806
"792","ATPsynD",413.431,1119.69
"793","CG6329",10.0652,27.2581
"794","CG30499",202.516,548.369
"795","eIF3m",173.469,468.591
"796","CG31198",15.5998,42.1275
"797","Nsf2",8.96015,24.1798
