"","gene_short_name","value_1","value_2"
"1273","ATPCL",56.1889,117.394
"1274","PGRP-SC2",18.973,39.624
"1275","GluRIB",1.41511,2.95536
"1276","RpS20,snoRNA:Psi18S-1295",1056.79,2205.17
"1277","Rga",64.1479,133.851
"1278","Drs",290.081,605.17
"1279","fsd",30.1469,62.8178
"1280","JhI-26",16.371,34.0889
"1281","CG17211,Phae2",5.06877,10.5523
"1282","CG7071,Muted",32.4888,67.6306
"1283","Acf",34.3642,71.5156
"1284","trv",15.7013,32.6755
"1285","MED28",55.0217,114.481
"1286","CG9864",3.7103,7.71291
"1287","CG9449",2.40881,5.00611
"1288","RpS16",1217.99,2528.06
"1289","Myo10A",0.825243,1.71279
"1290","Baldspot",64.7978,134.461
"1291","CG7834",184.662,383.123
"1292","CG3436,ND-15",461.224,956.888
"1293","Oatp58Dc",1.76259,3.65669
"1294","lqf",86.5701,179.385
"1295","CG5021",53.8831,111.628
"1296","Ada2a,Rpb4",50.3594,104.316
"1297","RpS21",1292.33,2675.53
"1298","CG44013,CG44014",7.47937,15.4842
"1299","Art8",13.3618,27.6311
"1300","CG17508",89.0256,183.959
"1301","mei-W68,par-1",115.146,237.847
"1302","cathD",438.663,905.855
"1303","hdly",13.6999,28.283
"1304","SP1173",5.37647,11.0977
"1305","RpLP0-like",143.671,296.397
"1306","CG14661",6.41947,13.2346
"1307","CG8353,CG8360",55.1476,113.62
"1308","CG42568,DnaJ-60",27.9687,57.6227
"1309","CG15525",61.396,126.415
"1310","RpS2",336.589,691.767
"1311","sff",1.75245,3.59962
"1312","Acyp2,CG9593,nsl1",63.1111,129.493
"1313","CG7882",1.8354,3.76191
"1314","hth",49.811,102.078
"1315","CG11722",39.3364,80.562
"1316","CG43155",1.44054,2.95024
"1317","CG8066",97.3162,199.237
"1318","ECSIT",14.7099,30.0333
"1319","CG33926",36.7593,74.9937
"1320","CG17221",23.7551,48.4374
"1321","Nmd3",45.0728,91.8876
"1322","Sdc",164.756,335.858
"1323","CG9776",152.61,310.989
"1324","p47",177.843,362.259
"1325","CR43314,bft",15.1462,30.8509
"1326","mRpL43",68.7561,139.97
"1327","PsGEF",1.02405,2.08309
"1328","dsh",47.3065,96.2137
"1329","msi",49.2872,100.115
"1330","CG3939",144.05,292.578
"1331","CG4594,CG4598",95.3785,193.623
"1332","tty",1.29402,2.62624
"1333","CG8331",276.43,560.985
"1334","Scp2",2.07575,4.21204
"1335","CG43134",27.3705,55.5111
"1336","CG10932",47.8762,97.0638
"1337","CG42369",8.2129,16.6443
"1338","Nckx30C",6.92581,14.0276
"1339","CG10550",2.56443,5.19009
"1340",NA,5.88261,11.8975
"1341","cindr",101.972,206.222
"1342","CG14252",3.12687,6.31308
"1343",NA,8.30609,16.7681
"1344","Alp4",10.742,21.6852
"1345","CG13917",51.3785,103.719
"1346","CG12963",10.3933,20.9614
"1347","CG10623",5.96178,12.022
"1348","EbpIII",374.222,754.477
"1349","CG18661,Try29F",14.9285,30.0603
"1350","shep",271,545.066
"1351","CG3594",35.8838,72.1618
"1352","Ufl1",6.95843,13.9916
"1353","CG5397",2.04488,4.1083
"1354","CG17982",40.4658,81.2865
"1355","CG43759",66.3112,133.189
"1356","CG3335",24.7857,49.7373
"1357","Teh2,Teh3",13.9537,27.9922
"1358",NA,3.43081,6.88084
"1359","dj-1beta",97.3598,195.257
"1360","CG42724",21.7725,43.6263
"1361","Frq2",3.07935,6.16988
"1362","CG17278",31.0948,62.2916
"1363","Crys",1.45618,2.9153
"1364","nac",17.8804,35.7874
"1365","5-HT1A",0.946951,1.89452
"1366","bora",29.9154,14.9522
"1367","Irk3",10.2152,5.10518
"1368","CG9062",19.0523,9.51694
"1369","CG11378",15.9445,7.94868
"1370","pst",56.2908,28.057
"1371","CG4078",6.16258,3.07145
"1372","Axs",5.3387,2.6557
"1373","CG12024",32.3067,16.0628
"1374","AdoR",2.61548,1.29921
"1375","Ulp1",10.0242,4.97881
"1376","CG13631",960.066,476.704
"1377","Abi",15.0424,7.46769
"1378","CG8679",6.58016,3.26296
"1379","CG9684",18.5402,9.19288
"1380","pzg",26.4888,13.1316
"1381","CG7386",9.11295,4.51711
"1382","gig",3.66153,1.81364
"1383","Nek2",16.512,8.17689
"1384","CG14641",27.6049,13.6644
"1385","Vps13B",2.68836,1.33035
"1386","GATAd",7.77531,3.84484
"1387","CG18764",5.1503,2.54673
"1388","CG15601",13.4857,6.667
"1389","CG3842",18.5672,9.16614
"1390","alpha-Est10,alpha-Est9",8.75875,4.32353
"1391","CG3626",7.23666,3.5706
"1392","Rpt6R",9.88195,4.87502
"1393","CG31407,Mical",11.8323,5.83622
"1394","CG17829,CR45475",21.716,10.707
"1395","wda",8.39767,4.13997
"1396","Mcm2",10.3912,5.1214
"1397","JhI-21",22.368,11.0206
"1398","CG14609,lap",13.795,6.79003
"1399","CG9662",65.137,32.0317
"1400","RASSF8",14.8848,7.31706
"1401","Taf8",25.779,12.6673
"1402","Tif-IA",26.3422,12.9316
"1403","CG5521",5.10534,2.5054
"1404","sigmar",43.193,21.1872
"1405","Rtnl1",87.8308,43.0817
"1406","CG10492",24.8484,12.1819
"1407","cdc14",8.79369,4.30852
"1408","BicC,CG45084",127.861,62.6423
"1409","CG4813",11.5647,5.66336
"1410","scramb2",26.8017,13.1248
"1411","CG12299",12.8081,6.27067
"1412","Slmap",41.7058,20.4045
"1413","cnk",7.09861,3.46979
"1414","CG30056,fra",2.66321,1.30041
"1415","Gga",19.3709,9.44953
"1416","La",100.263,48.8688
"1417","CR43174",6.87051,3.34681
"1418","CG17470,phr6-4",22.4663,10.9378
"1419","Syx13",40.6467,19.779
"1420","CG15107",37.8761,18.4272
"1421","Tsp3A",6.5143,3.16857
"1422","MESR4",20.6764,10.0416
"1423","Mes2",24.1999,11.7502
"1424","CG16717",15.3151,7.43399
"1425","Nbr",37.9475,18.392
"1426","lili",15.8391,7.67455
"1427","CG14767",30.9362,14.9894
"1428","mol",19.3906,9.39212
"1429","Nopp140",44.4595,21.5317
"1430","Sdr",2.27718,1.10233
"1431","obe",6.06087,2.93372
"1432","PpD3",31.3039,15.1352
"1433","shu",23.0125,11.1199
"1434","homer",18.8883,9.12549
"1435","Nipsnap",72.0611,34.8145
"1436","CG2065",25.3879,12.2593
"1437","caz",95.562,46.1054
"1438","CG8195",7.69746,3.71285
"1439","CG17187",21.1135,10.1817
"1440","CG8613",10.0661,4.85358
"1441","Mlf,bdg",57.2234,27.5807
"1442","CG4751",3.34778,1.61309
"1443","Sep2",51.4133,24.7534
"1444","CG16953",25.4773,12.2611
"1445",NA,6.60039,3.17498
"1446","eRF3",62.0038,29.8247
"1447","Slip1",16.4251,7.89801
"1448","aub",8.11694,3.90293
"1449","Sema5c",1.11768,0.537199
"1450","CG30096",5.12154,2.46152
"1451","GstE6",60.6023,29.1212
"1452","Act42A",49.5931,23.8103
"1453","Ret",4.32863,2.07508
"1454","CG10133",21.1349,10.13
"1455","TBC1D16",7.34285,3.51411
"1456","NaPi-III",29.6259,14.167
"1457","CG8292,Snx6",38.6342,18.472
"1458","Atg16",15.2788,7.30396
"1459","Zcchc7",11.732,5.60741
"1460","CG32091",53.357,25.4895
"1461","CG42353,CG42354",27.5464,13.157
"1462","Chchd2",468.684,223.732
"1463","gammaTub23C",23.9791,11.4464
"1464","REG,mew",71.6923,34.2219
"1465","CG45101",13.5946,6.48913
"1466","CG33298",12.4343,5.93408
"1467","CG17129,CG3386",20.2968,9.68275
"1468","Tnpo-SR",8.0149,3.82312
"1469","Snap24",15.1001,7.20181
"1470","Act5C",300.382,143.23
"1471","bdl",16.27,7.75118
"1472","CG9663",2.57383,1.22391
"1473","CG18081",28.4595,13.5233
"1474","Aatf",15.6105,7.41586
"1475","subdued",7.44502,3.53458
"1476","CG14722",26.8186,12.7209
"1477","CG31495",4.84741,2.29856
"1478","CG17337",104.818,49.6786
"1479","Spt3",4.53537,2.14777
"1480","GILT1",211.626,100.108
"1481","CG4239",10.6847,5.04756
"1482","Cont,Sfxn1-3",33.2048,15.6777
"1483","CG11893",3.45081,1.62918
"1484","Dmtn",21.3392,10.0726
"1485","CG7379",31.9562,15.0834
"1486","pyx",10.4451,4.92998
"1487","CG12179,CG12184",7.69582,3.62995
"1488","Pop2",73.1394,34.4935
"1489","mip40",31.731,14.9619
"1490","CG11665",23.5843,11.1195
"1491","row",11.4141,5.37733
"1492","Atet",6.28846,2.9623
"1493","CG17359",26.4625,12.4638
"1494","Ctr1A",5.73354,2.69639
"1495","CG3815",11.9025,5.59396
"1496","gwl",50.3562,23.6449
"1497","Mos",34.3835,16.139
"1498","Bmcp",24.8407,11.658
"1499","Vps45",6.90258,3.23923
"1500","cold",42.4986,19.9417
"1501","GCC185",8.34893,3.91716
"1502","r-l",53.1302,24.8678
"1503","sdk",7.63466,3.57272
"1504","fwd",17.3971,8.139
"1505","Tbce",18.613,8.70204
"1506","alpha4GT1",16.653,7.78451
"1507","UGP",38.1166,17.7817
"1508","CG30156,vimar",15.1111,7.04492
"1509","CG14883",21.4119,9.98205
"1510","Tsp74F",48.3925,22.5569
"1511","DptA",68.1341,31.7549
"1512","CG7745",21.8611,10.1779
"1513","CG12948,CG34409",30.5095,14.193
"1514","CG10041,MBD-R2",12.6369,5.87601
"1515","CG17802,CG17803,CG17806",26.6424,12.3854
"1516","Pkcdelta",1.62094,0.753432
"1517","CG11807,CG42391",23.9688,11.1407
"1518","Lrch",7.61281,3.5378
"1519","ifc",55.5971,25.8364
"1520","lama",23.4917,10.9164
"1521","CG13074",8.24679,3.83068
"1522","wek",14.8555,6.89932
"1523","RhoGEF2",12.2083,5.6598
"1524","CecA1",33.5088,15.5343
"1525","Vps16A",11.0744,5.13275
"1526","Sep1",58.8445,27.2687
"1527","CR40469",5736.98,2658.1
"1528","Uvrag",9.5281,4.41125
"1529","CG13101",9.43917,4.36493
"1530","Pms2",12.5665,5.80702
"1531","SRm160",20.116,9.29281
"1532","drk",31.4344,14.5164
"1533","CenB1A",18.4754,8.5252
"1534","GAPsec",9.6502,4.45245
"1535","Liprin-alpha",7.58659,3.4981
"1536","CG17159,CG17162",14.7073,6.77324
"1537","CG1663",13.2724,6.10682
"1538","CG11034",8.02436,3.69207
"1539","CG13097",25.0268,11.5072
"1540","tgo",10.5121,4.83209
"1541","AGO3",668.269,307.101
"1542","RhoGEF3",10.8807,4.99688
"1543","Sf3b6",56.5147,25.935
"1544","GstD1",1176.14,539.712
"1545","CG14995",7.8106,3.58362
"1546","trc",27.1299,12.4439
"1547","CG33096",22.6231,10.3759
"1548","DnaJ-1",108.394,49.7123
"1549","l(2)gl",22.9123,10.5054
"1550","Tim8",112.353,51.51
"1551","CG6424",19.1427,8.77105
"1552","Rheb",35.1151,16.0854
"1553","CG17493",48.4232,22.1673
"1554","Nak",20.0676,9.17619
"1555","Capr",42.5397,19.4442
"1556","Arf79F",94.7212,43.2765
"1557","grp,squ",177.035,80.8718
"1558","Nmda1",47.1908,21.5329
"1559","CG43078",18.12,8.26137
"1560","CG13895",8.04049,3.66546
"1561","Stam",13.3562,6.08779
"1562","Pc",14.1676,6.45523
"1563","CG4332",15.8084,7.19556
"1564","Kap-alpha3",84.9343,38.6589
"1565","lost",153.382,69.783
"1566","Rme-8",6.17449,2.80844
"1567","CG17163",48.1277,21.8896
"1568","CR45168,sti",15.5043,7.04875
"1569","CG5466",6.78124,3.08158
"1570","CG11723",11.5568,5.24958
"1571","CG17834",10.2185,4.63998
"1572","CG16721",10.7536,4.87606
"1573","CG5694",18.4901,8.3792
"1574","Orc1",27.0015,12.234
"1575","tub",34.4165,15.5717
"1576","Kap3",17.1655,7.76045
"1577","CG2617,IKKepsilon",27.073,12.2389
"1578","sqh",132.408,59.8167
"1579","Dyrk2",6.04077,2.72685
"1580","BEAF-32",63.2577,28.5305
"1581","CG11504,CG34298",31.7359,14.3129
"1582","IntS12",26.9221,12.1344
"1583","Reep1",44.9539,20.2573
"1584","CG15535,CG2217,CG42740",19.5647,8.8148
"1585","CG14814",80.0504,36.0523
"1586","Blm",11.3402,5.1067
"1587","LBR",25.9481,11.6747
"1588","Bgb",34.7023,15.6091
"1589","lmgB",9.73352,4.37647
"1590","CG32758",21.042,9.46068
"1591","CG30069",1.71557,0.77114
"1592","rdgBbeta",30.9137,13.8879
"1593","CG8239",26.6963,11.9926
"1594","sinu",7.25144,3.25666
"1595","CG44774,hpRNA:CR46342",436.945,196.051
"1596","Lap1",8.29345,3.72053
"1597","CG14921",4.33331,1.94333
"1598","GluRIID,GluRIIE",1.74062,0.780054
"1599","Dro",75.5103,33.8246
"1600","CG11825",44.4112,19.8911
"1601","Maf1",40.1245,17.949
"1602","CG3631",6.03217,2.69582
"1603","CG13689",23.8199,10.6383
"1604","mub",18.8871,8.43446
"1605","roq",11.621,5.18874
"1606","CG13893",23.5046,10.4909
"1607","Pof",14.5927,6.5082
"1608","CG10413",10.5121,4.68759
"1609","per",3.63195,1.61827
"1610","spag",22.2354,9.89355
"1611",NA,4.68437,2.0839
"1612","CG3558",14.8286,6.59549
"1613","tam",7.3213,3.25214
"1614","Vps35",9.73682,4.32408
"1615","Jafrac1",995.034,441.774
"1616","CG17544",4.95821,2.20118
"1617","Non2",135.628,60.1356
"1618","Su(var)2-HP2",10.8289,4.80018
"1619","CG43339,Mst36Fa,Mst36Fb,tos",36.9527,16.3743
"1620","cbs",19.2786,8.54109
"1621","CG5726,mir-11182",13.0474,5.78023
"1622","PIG-C",9.92198,4.39188
"1623","CG5068",12.2015,5.40001
"1624","Mitf",20.1083,8.89917
"1625","Mocs1",17.4567,7.71379
"1626","fy",11.2354,4.96347
"1627","jar",6.67051,2.94442
"1628","CG16833",12.9815,5.7214
"1629","CG6568",17.8766,7.8774
"1630","CG7616",5.66595,2.49524
"1631","achi",3.86635,1.70227
"1632","Usp1",11.7911,5.18989
"1633","CG17764,Cdk7",28.0638,12.3464
"1634","Mink,Trf4-2",27.3035,12.0099
"1635","CG7627",53.2807,23.4136
"1636","Plod",7.30927,3.20939
"1637","Rbf",21.2507,9.32736
"1638","CG10631",4.40408,1.93213
"1639","CG9498",108.623,47.6305
"1640","CG3106,Ptpmeg2",82.1177,35.9669
"1641","Chd64",80.0647,35.0021
"1642","U4-U6-60K",15.6043,6.81876
"1643","CG1941",30.2531,13.2158
"1644","lace",18.6119,8.12538
"1645","CG10347",6.10737,2.66586
"1646","SMC3",16.2373,7.08057
"1647","CG17068",8.03374,3.50318
"1648","CycJ,armi",23.8871,10.4062
"1649","ana1",5.47332,2.38339
"1650","CG5316",7.64161,3.32498
"1651","bor",15.3207,6.66263
"1652","h",262.977,114.349
"1653","Best1",19.5546,8.50169
"1654","rgr",9.5774,4.16254
"1655","CG11897",43.7488,18.9873
"1656","metro",5.63147,2.44223
"1657","Trx-2",212.565,92.1014
"1658","CG7523",69.1229,29.9464
"1659","conu",14.9431,6.4732
"1660","CG12717,ade5",47.9267,20.7564
"1661","CG43427",13.0456,5.64862
"1662","CG3430",27.565,11.935
"1663","CG13380,CG4174",34.7074,15.0032
"1664","AnxB11",34.1122,14.7429
"1665","mav",18.7076,8.08421
"1666","CG33158",4.90076,2.11762
"1667","Cortactin",17.1937,7.42392
"1668","frj",15.4667,6.67818
"1669","nes",19.407,8.37025
"1670","B4",10.158,4.37969
"1671","dlp",9.76426,4.20803
"1672","PlexA",19.7833,8.51998
"1673","CG15160",8.4919,3.65578
"1674","DNApol-epsilon58",6.98912,3.00811
"1675","Dlip2",37.9182,16.3134
"1676","CG31817",1.07522,0.462337
"1677","PIG-H",14.5481,6.25531
"1678","aph-1",36.9606,15.8886
"1679","p53",24.8969,10.6998
"1680","CG9801",4.10339,1.76278
"1681","CG5235,Tasp1",27.7927,11.9303
"1682","Spc25",57.2242,24.5334
"1683","cib",267.34,114.55
"1684","Pi4KIIalpha",25.0178,10.7173
"1685","Etl1",12.0124,5.14256
"1686","ksr",5.32137,2.27562
"1687","CG34163",35.8603,15.3297
"1688","Pngl",16.4387,7.02708
"1689","CG17360",4.55465,1.94655
"1690","CG3529",10.0449,4.29038
"1691","CG6325",10.0558,4.29267
"1692","MRP",20.9519,8.93705
"1693","INPP5E",2.56711,1.09429
"1694","Pi3K92E",8.64042,3.68046
"1695","CG13760",23.7439,10.1124
"1696","AspRS-m",14.8401,6.31735
"1697","CG18259",8.0588,3.42878
"1698","CG9934",15.728,6.68571
"1699","Ge-1",10.1915,4.32961
"1700","Vps33B",3.13511,1.3306
"1701","abo",9.75591,4.13828
"1702","Hcf",8.58386,3.64006
"1703","CG11248",7.27487,3.08406
"1704","nvd",1.81527,0.769507
"1705","CG14969",18.0551,7.64892
"1706","Ack",7.86666,3.33258
"1707","shtd",3.05851,1.29554
"1708","Rassf",8.59527,3.6403
"1709","Cyp6d2",2.99359,1.2674
"1710","CG6734",2.4937,1.05399
"1711","Nup98-96",19.9523,8.43184
"1712","CG13088",9.50527,4.01567
"1713","CG9626",1.49565,0.631775
"1714","gammaSnap2,tws",46.8622,19.7821
"1715","CG30440",5.68086,2.39719
"1716",NA,2.81486,1.1877
"1717","DNA-ligI",19.9162,8.3945
"1718","P32",108.051,45.5348
"1719","bon",7.99072,3.36598
"1720","Sox14",15.4098,6.49033
"1721","CG3995",13.1621,5.54315
"1722","ste14",21.5743,9.06397
"1723","D19A",13.4174,5.63618
"1724","aralar1",25.471,10.6977
"1725","Sin3A",30.6444,12.8435
"1726","CG40228",110.036,46.075
"1727","pes",31.6121,13.235
"1728","CG9304",8.3665,3.49771
"1729","CG10731",11.193,4.67836
"1730","Klp68D",7.11394,2.97227
"1731","Indy",42.9223,17.9255
"1732","CG1486",15.3894,6.42286
"1733","vers",18.8919,7.88324
"1734","CG5815",15.8579,6.6054
"1735","CG42788",2.97544,1.23916
"1736","Rh3",14.8662,6.18288
"1737","egl",12.8084,5.32096
"1738","Sep4",6.88595,2.85982
"1739","tum",34.7736,14.4409
"1740","CG31731",7.32344,3.03771
"1741","Jafrac2",17.9092,7.42797
"1742","Gasz",18.7987,7.78912
"1743","CR45367,Plc21C",19.2601,7.97447
"1744","Krn,Ndfip",35.2998,14.5937
"1745","CG5447",24.144,9.97941
"1746","Stat92E",22.9119,9.46348
"1747","Csat",16.0641,6.62458
"1748","nrv1",50.3262,20.7537
"1749","Prestin",14.3311,5.90328
"1750","CG6040",5.96666,2.45706
"1751","Hers",17.8894,7.35713
"1752","p38a",19.5794,8.04801
"1753","pbl",19.4506,7.99504
"1754","Gp210",9.25367,3.80236
"1755","ana3",8.04044,3.30067
"1756","CG1815",11.2598,4.61634
"1757","Mtl",41.3854,16.9633
"1758","yki",32.7564,13.4106
"1759","CR44423",7.55441,3.09182
"1760","CG1529",13.2051,5.40349
"1761","CG5746",41.0315,16.7833
"1762","CG16972",6.6647,2.72286
"1763","PAPLA1",8.87845,3.62477
"1764","dgrn",20.1171,8.21256
"1765","CG11247",11.698,4.77503
"1766","Tsp66E",24.7644,10.1077
"1767","Sara",5.83825,2.38195
"1768","CG14545",210.001,85.6747
"1769","Tre1",16.2737,6.63855
"1770","E(spl)m3-HLH",2.28857,0.933426
"1771","Cyp6a22",18.5995,7.57727
"1772","CG6565",17.6092,7.17017
"1773","CG7200",8.46574,3.44672
"1774","CG6927",48.4412,19.7126
"1775","Trxr-1",228.548,92.9199
"1776","orb",27.4791,11.1703
"1777","Dref",16.7767,6.81235
"1778","sli",3.57797,1.45275
"1779","PIG-L",22.3104,9.04146
"1780","CG8924",19.618,7.9482
"1781","Nelf-E",20.6614,8.36536
"1782","nesd",9.88692,3.99413
"1783","mof",6.75501,2.72855
"1784","CG33057,mkg-p",16.3027,6.5845
"1785","CG3797",16.2819,6.56983
"1786","CG7222",20.2352,8.15503
"1787","CG9302",15.3674,6.19167
"1788","CG33156",48.0789,19.3568
"1789","CG7638",18.2785,7.35718
"1790","Nhe3",30.3013,12.1892
"1791","Mcm6",27.4975,11.0583
"1792","CG6051",14.4304,5.79822
"1793","botv",5.01372,2.01449
"1794","Df31",391.854,157.356
"1795","Pld",12.192,4.89361
"1796","nuf",30.5552,12.2571
"1797","Rpb7",89.2023,35.7738
"1798","CG40006",7.27438,2.91512
"1799","CG9044",4.9902,1.99967
"1800","msl-3",20.9015,8.36647
"1801","CG15812",28.6606,11.47
"1802","msb1l",38.472,15.3956
"1803","Ndc80",10.8417,4.33627
"1804","Fmr1",29.1942,11.6681
"1805","Mad",19.262,7.69151
"1806","Pez",9.41173,3.75643
"1807","Neurochondrin",9.54694,3.81031
"1808","CG17036,CG5776",7.9137,3.15572
"1809","cta",14.3274,5.70648
"1810","CG5098",10.0492,4.0023
"1811","CG3764",9.91059,3.94459
"1812","CG7841",17.5035,6.95784
"1813","beta4GalNAcTA",11.1643,4.43754
"1814","Trap1",13.7485,5.46201
"1815","Ibf1",10.0131,3.97288
"1816","CG2064",62.4099,24.7288
"1817","Stip1",68.6888,27.2043
"1818","CG42402",0.705824,0.279518
"1819","CG2201",20.4629,8.09919
"1820","RhoGAP1A",8.94138,3.53726
"1821","c(3)G",8.37842,3.31436
"1822","CG32625",40.9567,16.1996
"1823","Nrt",2.85549,1.12816
"1824","CG18808,Dhc64C",3.15838,1.24767
"1825","CG7369",7.07166,2.79317
"1826","ash1",12.8304,5.05212
"1827","pon",15.0691,5.93247
"1828","Lnk",17.68,6.9587
"1829","Rbp9",36.4651,14.349
"1830","Swim",39.9599,15.7138
"1831","CG8298",15.7648,6.19311
"1832","SCAR",15.3189,6.01455
"1833","Eaf,mir-4977",8.57369,3.36606
"1834","CG42362,CG42364",44.6714,17.5326
"1835","Irbp",22.3511,8.76606
"1836","l(2)35Bd",10.9421,4.28945
"1837",NA,3.29083,1.2898
"1838","uzip",3.18187,1.24692
"1839","CG13603",25.8034,10.1011
"1840","CG6023",5.2445,2.05051
"1841","Su(H)",10.1057,3.9509
"1842","gkt",2.44995,0.957775
"1843","Coprox",141.212,55.1932
"1844","CG18622",13.832,5.40465
"1845","CG7453",24.9623,9.72085
"1846","trio",23.6055,9.18719
"1847","Lrp4",1.25624,0.488662
"1848","MED14",5.76075,2.23891
"1849","ValRS-m",4.67955,1.81826
"1850","uri",15.6721,6.08429
"1851","Wbp2",34.2915,13.3089
"1852","GstD3",155.746,60.4443
"1853","CG13025",14.2273,5.52154
"1854","CG32147",17.2959,6.70942
"1855","CG10420",25.0302,9.70904
"1856","CG14650",10.5462,4.09064
"1857","klar,snmRNA:438",337.838,130.988
"1858","mus301",5.79887,2.24824
"1859","mbf1",125.608,48.6648
"1860","CG4302",27.517,10.6517
"1861","Herp",26.6958,10.3323
"1862","CG5854",23.4136,9.06133
"1863",NA,5.25938,2.03452
"1864","CG10055",11.9553,4.62197
"1865","CG15436",8.90402,3.43979
"1866","fl(2)d",21.2429,8.20422
"1867","Bsg25D",16.9219,6.53439
"1868","hb",28.0951,10.8336
"1869","PrBP",8.46981,3.26552
"1870","Rab23",16.4364,6.33192
"1871","kune",22.8965,8.81993
"1872","GstS1",56.8488,21.8848
"1873","AP-2mu",15.8667,6.10545
"1874","CG9175",13.0985,5.03885
"1875","CG10527",84.4351,32.4771
"1876","CG10948",8.66287,3.33177
"1877","Cdk1",93.3434,35.8759
"1878","fry",7.8404,3.01318
"1879","kay",29.4481,11.3159
"1880","Vrp1",11.0347,4.23886
"1881","CG11710",6.58433,2.52899
"1882","Shc",13.2905,5.09304
"1883","CG33052",20.9894,8.04138
"1884","CTCF",18.1016,6.93494
"1885","RnrS",98.9375,37.8749
"1886","CG9135",36.8877,14.1156
"1887","CR43837",7.39761,2.82547
"1888","CG12728",8.02068,3.06064
"1889","Calx",8.98592,3.42579
"1890","CenG1A",13.4894,5.14216
"1891","CG8173",44.2806,16.8712
"1892","solo,vas",114.731,43.7003
"1893","CG17328",8.63685,3.28944
"1894","Sam-S",85.5548,32.5402
"1895","IntS10",6.57485,2.49943
"1896","NijC,Past1",171.95,65.3449
"1897","flfl",19.0134,7.20912
"1898","elg1",20.4288,7.74195
"1899","CG2316",9.56828,3.62473
"1900","CG17361",52.6348,19.922
"1901","l(1)1Bi",7.59042,2.87099
"1902","par-6",15.0689,5.699
"1903","pav",20.0463,7.57604
"1904","asun",4.90442,1.8527
"1905","c11.1",15.1012,5.70398
"1906","CR45668",6.40955,2.41896
"1907","HmgD",413.606,155.516
"1908","Ent2",9.29694,3.4943
"1909","Plzf",2.40909,0.905403
"1910","hpo",9.20469,3.45888
"1911","Ext2",5.94556,2.23146
"1912","CG7458",2.83815,1.06503
"1913","Akap200",146.61,54.9967
"1914","GstE5",25.2028,9.45363
"1915","CG9775",38.6673,14.5001
"1916","GlcAT-S",16.8378,6.3137
"1917","Scm",14.0497,5.26355
"1918","Arfip",18.658,6.98013
"1919","xmas-1,xmas-2",12.4813,4.65662
"1920","CG5285",7.05012,2.62807
"1921","CG12766",3.16186,1.17785
"1922","CG1603",5.77965,2.15269
"1923","CycB",487.444,181.517
"1924","CG7857",25.9657,9.66361
"1925","CG7432",3.0751,1.14437
"1926","Doa",28.7545,10.6901
"1927","CG31612",1.16791,0.433873
"1928","SamDC",8.23346,3.05631
"1929","Mvl",18.6338,6.91567
"1930","Rbcn-3A",4.24353,1.57444
"1931","Mcm3",15.5065,5.75192
"1932","CG10274",10.7948,4.00267
"1933","rt",8.25617,3.05864
"1934","CG10188",9.85073,3.64859
"1935","dia",17.8703,6.6188
"1936","CG1718",4.80486,1.77534
"1937","sra",45.1736,16.6636
"1938","Hsepi",6.18731,2.2821
"1939","CG15387",28.9883,10.6874
"1940","CG14054,CG4199",63.5223,23.3859
"1941","CG10171",8.52261,3.13722
"1942","dmGlut",20.0091,7.36536
"1943","Rad60",28.4567,10.4634
"1944","CG7326",21.2525,7.80957
"1945","bip1",31.2047,11.4646
"1946","p130CAS",6.28642,2.30665
"1947","CG11652",20.4823,7.50745
"1948","CG6454",9.30677,3.41047
"1949","GPHR",13.5256,4.95457
"1950","scramb1",24.0293,8.79447
"1951","CG32549",27.5804,10.0867
"1952","Su(var)3-3",5.11208,1.86698
"1953","aux",10.2479,3.73786
"1954","Mmp1",6.23551,2.27317
"1955","Sps2",19.1072,6.96515
"1956","CR45802",35.6711,13.0009
"1957","Cen",22.012,8.00419
"1958","CG7510",12.1788,4.4211
"1959","rdx",128.35,46.5655
"1960","Rca1",19.7465,7.16328
"1961","CG32732",20.2713,7.34578
"1962","lqfR",15.7074,5.69151
"1963","Cyp6a23",7.16476,2.59581
"1964",NA,4.65848,1.68443
"1965","Ucp4B",3.65018,1.3197
"1966","Smurf",12.9259,4.66965
"1967","Ank",11.4555,4.13765
"1968","D19B",5.89235,2.1255
"1969","Nelf-A",12.6421,4.55964
"1970","CG13005",7.22484,2.60448
"1971","CG16700,CG4991",63.9813,23.0631
"1972","Socs36E",17.3742,6.26024
"1973","BubR1",8.99179,3.23938
"1974","Fur2",16.7153,6.01749
"1975","P5CDh1",28.6858,10.3187
"1976","mib1",12.1373,4.35965
"1977","Mtr4",6.76265,2.42479
"1978","AP-2alpha",15.2186,5.45452
"1979","spel1",6.12996,2.19626
"1980","CG7328",8.73564,3.12918
"1981","CG32755,CG32756,CG6041",9.22796,3.30427
"1982","Zw10",26.4232,9.46064
"1983","CG6583",17.2647,6.17686
"1984","RhoGDI",58.9324,20.9994
"1985","kuk",134.767,48.0086
"1986","foi",17.7576,6.32438
"1987","Cp190",35.7853,12.7374
"1988","CG4936",17.7586,6.29858
"1989","CG31678",7.28324,2.58252
"1990","CG31457",21.7202,7.69695
"1991","Kah",1.08677,0.384252
"1992","cal1",15.213,5.37058
"1993","CG5830",103.378,36.4526
"1994","crok",18.5533,6.52969
"1995","CG6005",10.1869,3.58453
"1996","Cks30A",46.2186,16.2623
"1997","CG10184",401.823,141.287
